IFDM
Sigla;Código;Município;2006;2007;2008;2009;2010;
AP;1600600;Santana;0,605491564;0,611318984;0,598957105;0,583859447;0,5944767495;
AP;1600709;Tartarugalzinho;0,507563518;0,60427502;0,531248537;0,502990742;0,4326062412;
AP;1600808;Vitória do Jari;0,502191843;0,548025573;0,447212773;0,50412425;0,4756776906;
BA;2900108;Abaíra;0,430675775;0,478240041;0,555315474;0,577539367;0,5749000902;
BA;2900207;Abaré;0,451239435;0,586810627;0,499454903;0,557212401;0,574644507;
BA;2900306;Acajutiba;0,459431161;0,459003392;0,449855079;0,480755454;0,5380861308;
BA;2900355;Adustina;0,484903402;0,504160931;0,488230112;0,526177755;0,5459042566;
BA;2900405;Água Fria;0,431236323;0,496111852;0,495558464;0,483523871;0,488981657;
BA;2900504;Érico Cardoso;0,474685463;0,448283792;0,524431647;0,465952725;0,4736821382;
BA;2900603;Aiquara;0,470316472;0,435026515;0,463465874;0,485701664;0,4669615095;
BA;2900702;Alagoinhas;0,552317222;0,587681607;0,598255345;0,629956841;0,7027352297;
BA;2900801;Alcobaça;0,440093223;0,469669605;0,463330677;0,50500712;0,5178247145;
BA;2900900;Almadina;0,43881242;0,416235286;0,456875969;0,464342794;0,4912236243;
BA;2901007;Amargosa;0,524618847;0,534560694;0,539817531;0,571704894;0,5837867977;
BA;2901106;Amélia Rodrigues;0,590237246;0,654830069;0,597578541;0,644427419;0,5797796387;
BA;2901155;América Dourada;0,406327272;0,471041619;0,491466039;0,516674613;0,5275391203;
BA;2901205;Anagé;0,478957157;0,513205705;0,435464065;0,466583882;0,4724082899;
BA;2901304;Andaraí;0,402093001;0,434440657;0,474000878;0,500054439;0,501384777;
BA;2901353;Andorinha;0,495510639;0,541340194;0,630638223;0,560262879;0,6355767186;
BA;2901403;Angical;0,394091755;0,492796057;0,502593965;0,487577152;0,553498338;
BA;2901502;Anguera;0,452290651;0,447023322;0,436950659;0,49280675;0,514991694;
BA;2901601;Antas;0,455599167;0,51112469;0,523328677;0,554304679;0,5202361228;
BA;2901700;Antônio Cardoso;0,425322272;0,472640695;0,494349375;0,511320757;0,539119052;
BA;2901809;Antônio Gonçalves;0,401736021;0,44810407;0,478591336;0,49729653;;
BA;2901908;Aporá;0,392068644;0,417681192;0,46922149;0,493296996;0,4904198293;
BA;2901957;Apuarema;0,431543715;0,482318878;0,401633475;0,465951777;0,4962693176;
BA;2902005;Aracatu;0,431086509;0,459244028;0,500607912;0,519513173;0,5336864497;
BA;2902054;Araças;0,477404384;0,505757773;0,474251524;0,46231099;0,5854039342;
BA;2902104;Araci;0,405428165;0,379983192;0,419233732;0,445989786;0,5164753073;
BA;2902203;Aramari;0,419757719;0,490598095;0,498831181;0,478204769;0,5369976623;
BA;2902252;Arataca;0,415497411;0,455208084;0,434850335;0,445334525;0,4127375761;
BA;2902302;Aratuípe;0,416707841;0,438653893;0,460919259;0,5001062;0,4984883993;
BA;2902401;Aurelino Leal;0,435014442;0,439587694;0,432334859;0,473946053;0,5039615518;
BA;2902500;Baianópolis;0,486480101;0,508644365;0,473893989;0,472310208;0,5493407522;
BA;2902609;Baixa Grande;0,425274884;0,465560467;0,51073495;0,497723563;0,5405502449;
BA;2902658;Banzaê;0,427313528;0,414993394;0,444556611;0,481329106;0,5101977868;
BA;2902708;Barra;0,369368679;0,450375385;0,468964503;0,495291838;0,5060533105;
BA;2902807;Barra da Estiva;0,462653966;0,499283804;0,538227256;0,565418069;0,5759404884;
BA;2902906;Barra do Choça;0,495261093;0,547646554;0,554655771;0,542500314;0,5218854819;
BA;2903003;Barra do Mendes;0,410614696;0,473093308;0,509117261;0,568878431;0,5010548641;
BA;2903102;Barra do Rocha;0,435876587;0,474695102;0,507195654;0,553171849;0,5577299153;
BA;2903201;Barreiras;0,541834968;0,578714932;0,596659211;0,665023044;0,7029480929;
BA;2903235;Barro Alto;0,476193571;0,519486027;0,62116315;0,521604041;0,5410731342;
BA;2903276;Barrocas;0,509489355;0,562033438;0,488468133;0,537409787;0,5930364448;
BA;2903300;Governador Lomanto Júnior;0,439578755;0,463480058;0,658494917;0,534416632;0,5327734657;
BA;2903409;Belmonte;0,456487978;0,511486656;0,733129814;0,555749562;0,5439133302;
BA;2903508;Belo Campo;0,433104439;0,481526747;0,515285014;0,476320693;0,5179082149;
BA;2903607;Biritinga;0,463132452;0,473852557;0,684946849;0,455529611;0,4679253664;
BA;2903706;Boa Nova;0,426987365;0,414658411;0,549593388;0,401989655;0,5170344788;
BA;2903805;Boa Vista do Tupim;0,415071836;0,480144821;0,696344478;0,53363502;0,5272568316;
BA;2903904;Bom Jesus da Lapa;0,487827681;0,517499496;0,529248809;0,522040388;0,5447747361;
BA;2903953;Bom Jesus da Serra;0,384425814;0,397828398;0,682223271;0,450149928;0,4793836956;
BA;2904001;Boninal;0,444934799;0,474473418;0,601225317;0,514801828;0,5837659117;
BA;2904050;Bonito;0,443372312;0,466486752;0,520556039;0,50854276;0,5111142852;
BA;2904100;Boquira;0,364635649;0,421281495;0,573440242;0,421522707;0,5002195684;
BA;2904209;Botuporã;0,488990124;0,494039162;0,509468205;0,549428223;0,5826216571;
BA;2904308;Brejões;0,485716561;0,434998724;0,584307082;0,516450106;0,5553102578;
BA;2904407;Brejolândia;0,468208801;0,475695878;0,475857024;0,516173028;0,508697231;
BA;2904506;Brotas de Macaúbas;0,392338537;0,514017497;0,806910127;0,609832699;0,5109201114;
BA;2904605;Brumado;0,537781585;0,554605971;0,770331152;0,625517394;0,6509227857;
BA;2904704;Buerarema;0,47203673;0,407629243;0,520961709;0,490869713;0,4858639085;
BA;2904753;Buritirama;0,448217517;0,440463191;0,499815989;0,477097642;0,5023570165;
BA;2904803;Caatiba;0,394879188;0,4410714;0,693388013;0,490116311;0,4501492799;
BA;2904852;Cabaceiras do Paraguaçu;0,467445265;0,49302485;0,561343201;0,52946638;0,5528056995;
BA;2904902;Cachoeira;0,509511816;0,561166395;0,679446177;0,610040139;0,6086147257;
BA;2905008;Caculé;0,564338647;0,606551664;0,744277712;0,583286648;0,6228339356;
BA;2905107;Caém;0,434361439;0,449112242;0,531281616;0,510183588;0,5312724335;
BA;2905156;Caetanos;0,490799765;0,443697873;0,604339704;0,471849071;0,4745417415;
BA;2905206;Caetité;0,545507526;0,600971114;0,510906345;0,585529091;0,6258582719;
BA;2905305;Cafarnaum;0,421656195;0,461528929;0,582552591;0,539208213;0,5123837238;
BA;2905404;Cairu;0,567839069;0,610268378;0,875081611;0,570969592;0,5832782933;
BA;2905503;Caldeirão Grande;0,400624778;0,406030025;0,581893672;0,469897746;0,483485032;
BA;2905602;Camacan;0,4394235;0,444996151;0,489037321;0,489214342;0,4757399707;
BA;2905701;Camaçari;0,679795711;0,713615105;0,469875986;0,615556689;0,6889015243;
BA;2905800;Camamu;0,460179097;0,478524731;0,543588666;0,486670741;0,4901789534;
BA;2905909;Campo Alegre de Lourdes;0,44472814;0,498611785;0,642579244;0,571133393;0,5791050485;
BA;2906006;Campo Formoso;0,516127136;0,488324593;0,687933476;0,562430889;0,6005860743;
BA;2906105;Canápolis;0,403555086;0,448752539;0,76578564;0,51840022;0,4973775893;
BA;2906204;Canarana;0,446870775;0,497089748;0,661091085;0,528457681;0,5581148511;
BA;2906303;Canavieiras;0,501999834;0,489808499;0,489447117;0,484433664;0,5108970868;
BA;2906402;Candeal;0,377590783;0,408587447;0,457918039;0,46203266;0,5028149133;
BA;2906501;Candeias;0,598575785;0,615513143;0,610191297;0,64186787;0,6758271392;
BA;2906600;Candiba;0,494557105;0,516413359;0,665952807;0,558276739;0,5870816238;
BA;2906709;Cândido Sales;0,456544419;0,477232248;0,732618009;0,535569606;0,5556880962;
BA;2906808;Cansanção;0,373833835;0,413555037;0,643864061;0,43090843;0,434598566;
BA;2906824;Canudos;0,421784408;0,500926986;0,535350566;0,521596715;0,4881996378;
BA;2906857;Capela do Alto Alegre;0,442446516;0,440116279;0,679904843;0,508121435;0,5770897281;
BA;2906873;Capim Grosso;0,48639284;0,476191499;0,574977496;0,524241919;0,5867883172;
BA;2906899;Caraíbas;0,435286603;0,483011705;0,463100961;0,375903708;;
BA;2906907;Caravelas;0,502891523;0,588415801;0,528441727;0,544086098;0,5834160066;
BA;2907004;Cardeal da Silva;0,422333765;0,433721916;0,558736151;0,49395686;0,5611573192;
BA;2907103;Carinhanha;0,503521288;0,559341728;0,559404112;0,496045286;0,507207929;
BA;2907202;Casa Nova;0,378710997;0,395283582;0,610074013;0,45126537;0,5104125323;
BA;2907301;Castro Alves;0,516125698;0,507500668;0,72444678;0,523125274;0,5617715736;
BA;2907400;Catolândia;0,489529281;0,5342698;0,508166153;0,572186241;0,5731031592;
BA;2907509;Catu;0,571102299;0,6565437;0,637548103;0,638798129;0,6254140691;
BA;2907558;Caturama;0,482235718;0,484857067;0,614076173;0,526026762;0,535795967;
BA;2907608;Central;0,399482401;0,459621535;0,630133673;0,494371131;0,5000778534;
BA;2907707;Chorrochó;0,416204458;0,488021538;0,58491905;0,587311653;0,6028181143;
BA;2907806;Cícero Dantas;0,429937103;0,453978851;0,815621233;0,496144918;0,5350893112;
BA;2907905;Cipó;0,485453803;0,506137994;0,684759364;0,540602858;0,5578186967;
